id,name,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,loudness,valence
1jJci4qxiYcOHhQR247rEU,Kids,0.931,0.361,122.961,0.0719,0.00076,0.0049,4,0.451,9,-3.871,0.182
2zVIYGMfebDeZdL2nhRdtW,Weekend,0.813,0.111,87.057,0.0453,0.0209,0,4,0.537,8,-4.857,0.702
1oRpmxf7EeAOoYb3ORzu99,Feel So Close,0.938,0.26,127.944,0.0291,0.00116,0.0159,4,0.703,0,-2.762,0.765
3t87C08isN6yw2DnWOorLm,Hannah Hunt,0.313,0.1,207.969,0.0681,0.717,0.000822,4,0.345,4,-10.098,0.166
1eyzqe2QqGZUmfcPZtrIyt,Midnight City,0.712,0.179,105.009,0.0356,0.0161,0,4,0.526,11,-6.525,0.299
5fHrEHf0zGHsAWIYxmmDKf,How the Leopard Got Its Spots,0.722,0.103,142.01,0.0683,0.0545,0,4,0.49,9,-6.46,0.294
4rcNXoJfc2nMHAUXOkUiE2,Smile,0.652,0.0589,116.703,0.049,0.27,0.00629,4,0.316,7,-7.001,0.293
2KhS0LVOw9ralhfbcIi7vL,Comes and Goes (In Waves),0.698,0.124,120.013,0.0295,0.54,0.0183,4,0.565,0,-8.596,0.162
6D43oUO6nImERk2psfXdNY,Afterlife,0.874,0.228,115.983,0.0362,0.109,0.0385,4,0.653,11,-5.543,0.739
1I4EczxGBcPR3J3KeyqFJP,We Own The Sky,0.761,0.0757,140.084,0.0334,0.000105,0.0456,4,0.399,9,-6.318,0.244
0AVzhaaOaGgdyXJ2orgfwC,Obedear,0.732,0.246,195.978,0.15,0.195,0.0135,4,0.605,6,-5.643,0.136
2eQOMQkStoRUQyq6HGh1iG,San Francisco,0.857,0.0767,92.328,0.0604,0.0184,0,4,0.254,11,-4.213,0.301
6BZUm60m3ebmwJFAxWRmhY,Dead Hearts,0.375,0.0846,77.325,0.028,0.7,0.000428,4,0.384,3,-9.266,0.271
0Sia9jActaEwcQR8AGFM8r,Belispeak,0.9,0.225,105.004,0.117,0.0246,0.000178,4,0.72,0,-5.364,0.35
7DhbRXMrdhblrRuM0DphOF,The Suburbs,0.551,0.109,66.485,0.0774,0.164,0.0108,4,0.365,11,-6.528,0.507
0U2kP3QG3FVV9gxPfxvF1p,Oh Sailor,0.473,0.281,120.034,0.034,0.533,0.253,4,0.645,0,-9.085,0.653
4Sfa7hdVkqlM8UW5LsSY3F,Take a Walk,0.755,0.315,101.006,0.0368,0.0338,0,4,0.566,11,-5.526,0.427
2g4KPhbi3sb1O2JulSqaek,Work All Day,0.846,0.144,83.942,0.0294,0.337,9.94e-05,4,0.685,9,-4.816,0.918
35uG86WYa3CYB7lG1ixATU,Under the Gun,0.669,0.0959,126.034,0.0356,0.047,0.0134,4,0.868,2,-7.918,0.778
7GDbkrFBGrCb8ntbQPY3hQ,17,0.254,0.108,79.989,0.0473,0.844,0.58,4,0.352,0,-8.51,0.0916
37E9Yatw0UtG5gawq35S0q,Global Concepts,0.801,0.365,107.961,0.195,0.356,9.37e-06,4,0.733,4,-3.728,0.653
7LuojryrN6VkYWbax5dWTv,Just Movement,0.764,0.133,140.012,0.0298,0.762,0.0033,4,0.653,7,-4.827,0.139
1pTKif9y4gceRWi11RtsSe,"Basically, I",0.676,0.122,119.982,0.0335,0.00261,2.52e-05,4,0.62,0,-5.451,0.198
1RwwmiVtLAtPmxAqKVfwgG,I Wanna Get Better,0.891,0.281,190.024,0.106,0.00266,7.99e-06,4,0.456,9,-7.004,0.411
38ItxaWVCVbT3Dmjy00ohm,It's Alright,0.624,0.285,115.017,0.0308,0.0804,3.7e-05,4,0.677,0,-7.64,0.509
58stjpV04lJKmPgc2vxm6J,Love Is All I Got,0.776,0.458,130.04,0.0448,0.00081,0,4,0.617,0,-6.06,0.408
62d2bS1weWhdHZH1lSpJp8,Waves,0.556,0.169,139.939,0.0275,0.0228,0.676,4,0.444,4,-7.048,0.0628
7brQHA2CgQpcMBiOlfiXYb,Afraid,0.701,0.335,83.996,0.0411,0.00892,0.309,4,0.464,6,-5.693,0.351
4hEx4pOr6zMsREYezwWNqn,Walk On By,0.441,0.0831,80.084,0.0381,0.921,0.0328,4,0.441,6,-11.298,0.12
2QMLICqo5TTiPv4BPD3N5t,Silhouettes - From “The Hunger Games: Catching Fire” Soundtrack,0.584,0.182,116.782,0.0369,0.00183,0.475,4,0.495,11,-9.151,0.156
6vH82EO79HolBobpt6eMS9,Everybody Wants To Rule The World - From “The Hunger Games: Catching Fire” / Soundtrack,0.567,0.108,110.929,0.134,0.62,0.000204,3,0.389,4,-9.29,0.0498
6CTbvxcE6JlTM4cdHZry58,1940 - AmpLive Remix,0.934,0.111,87.023,0.0584,0.000555,0.0897,4,0.625,5,-2.869,0.686
31DVVa40JpTudyGDNC1ROW,Everything In Its Right Place,0.462,0.0954,124.004,0.0453,0.699,0.0444,5,0.293,5,-11.412,0.0585
4V1c9xMDXQy2GuzCSlBHCu,"You, Me and the Bourgeoisie - Tonetiger Remix",0.882,0.0529,90.495,0.192,0.0926,0.0255,4,0.568,1,-2.947,0.544
5X4b5yuoihfPbZMzSOhg8M,Giants,0.855,0.0793,184.087,0.114,0.00686,0.0126,4,0.467,0,-5.485,0.418
4Az3ks4jaGw7MtkWWSIPZh,Say My Name (feat. Zyra) - Markus Schulz Remix,0.562,0.0912,128.006,0.0457,0.00533,0.111,4,0.706,6,-7.801,0.0769
1TSxLktSlIdEsjTGWB4Fub,It’s Only (feat. Zyra),0.587,0.231,120.047,0.156,0.165,0.00267,4,0.404,9,-11.172,0.114
2q2jR9QQKo3aaGX74nR0di,Everytime,0.774,0.0549,157.787,0.0361,0.00166,8.47e-05,4,0.452,11,-5.201,0.114
6LbN9JT2sAckykm78CA8Ol,Is There Somewhere,0.549,0.0872,130.043,0.0456,0.135,0.000263,4,0.517,9,-7.627,0.175
2xYUn5R79VRPW12pZKuwYd,Tether,0.605,0.141,119.852,0.0446,0.0608,0.00135,4,0.466,9,-7.152,0.133
2ZZQWecPCMvtj5M9b3bjys,begin again,0.565,0.307,92.126,0.0471,0.0108,0.0471,4,0.598,11,-7.764,0.327
5TJuFNiv556aMzQxdaLkxD,Internet Killed The Video Star,0.903,0.315,117.99,0.034,0.0023,0,4,0.634,9,-2.713,0.718
4KgWwGrhtccvKkVq5LuY8a,Come Back Down - feat. Sara Bareilles,0.88,0.0979,141.101,0.0523,0.0155,0,4,0.369,2,-4.933,0.332
7DImv0qWPEiAYUPJ0yKuDd,Sunset,0.182,0.113,119.98,0.0762,0.557,0.456,4,0.835,2,-15.876,0.388
2KrIVRYbzxFhrtIs6iDZpn,I Feel Better,0.672,0.106,125.086,0.0438,0.0134,0,4,0.598,0,-5.291,0.35
6AM2EPDzlozGJYgmPVbAFT,Comes And Goes In Waves - 2013 Remake,0.262,0.0971,77.293,0.0315,0.919,4.02e-06,3,0.222,0,-9.265,0.142
63PI19vMiCXKzwUwGtmjUX,sea castle,0.47,0.114,124.047,0.0334,0.2,0.000156,4,0.543,7,-8.825,0.326
59yvXUFVjsaZQsDs09T7eA,Crystals,0.768,0.102,132.198,0.0306,0.00187,0.000456,4,0.581,0,-7.238,0.316
79J3t6ZGyQWKHUXCdKPidK,Fucked My Way Up To The Top,0.692,0.138,129.848,0.0582,0.612,0.31,4,0.516,7,-5.951,0.171
7gWNwHsrs18aiTmIjjxYgP,LIVE FOR THE WEEKEND,0.819,0.09,166.031,0.0595,0.0963,0,4,0.551,7,-4.435,0.496
6GRDI9suQHikFP6euIXnpq,Hero,0.539,0.109,174.564,0.0265,0.213,6.44e-05,4,0.341,5,-5.76,0.249
5PtEpuVX03k9bOUwilL5EO,Punching In A Dream,0.894,0.158,115.053,0.0469,0.00276,0.000847,4,0.476,6,-3.636,0.164
0GO8y8jQk1PkHzS31d699N,Tongue Tied,0.936,0.161,112.96,0.0439,0.00847,0,4,0.56,3,-5.835,0.385
6gSKswfcoWvaadqvuMF3Y7,Colours,0.83,0.0983,93.933,0.0397,0.0211,0,4,0.529,6,-5.428,0.286
2q4gGYNmNYNyqgpVmGJH0c,Cannons,0.732,0.123,74.991,0.0297,0.648,0.929,4,0.53,1,-5.054,0.165
1l5lKWHRfyY7Y3FvDBXlvJ,Sleep Forever,0.467,0.319,145.027,0.0295,0.367,0.000542,4,0.513,7,-8.305,0.304
7H1MVTCY4zJJtzwlu611zY,Grandloves (feat. Young Magic),0.628,0.362,115.069,0.137,0.0148,0.000373,4,0.579,7,-7.32,0.136
1Ua8fsSpMlVUwkm7KkcNcM,Young Hearts,0.83,0.11,150.005,0.0319,0.000635,0.0946,4,0.59,1,-7.242,0.352
3qs4A3FXmrDJANe3aZp70U,Youth,0.708,0.266,127.741,0.0601,0.00793,0.000528,4,0.568,8,-9.96,0.212
4qib9Vp9ZBukba1uOOWWQ7,Love Is Overrated,0.533,0.157,100.977,0.0782,0.00924,0,4,0.763,1,-6.695,0.879
246ZRO8J65Mj077oBwWbmP,Get U Home,0.75,0.0806,123.987,0.0968,0.00332,0,4,0.738,9,-3.698,0.7
14WY9PjqIwABQF6BE386cz,Hearts A Mess,0.523,0.182,125.062,0.0388,0.0751,0.284,4,0.772,5,-9.535,0.536
0h8ojQz5giqSp3Q5EWUrRv,Gold (Flume Re-Work),0.441,0.258,140.017,0.0422,0.329,0,4,0.328,1,-6.901,0.0947
2hWLWMEIyDdHwdnn6f4VtU,We're On Our Way,0.576,0.51,148.598,0.036,0.487,0.498,4,0.555,0,-12.226,0.295
2PkUVjGspZ5goc98NuGv3v,Video Games,0.891,0.0915,141.965,0.0397,0.0359,0,4,0.563,4,-4.511,0.338
1bOwYCSAhWraaxWrMPQPtf,Heartbreaker,0.881,0.304,128.059,0.108,0.0877,7.19e-05,4,0.541,0,-4.863,0.347
46F2qArLwz8WT1qJ2bNRfR,Youth - Adventure Club Remix,0.55,0.0898,139.98,0.0457,0.00747,0.000492,4,0.53,0,-6.631,0.21
5i0i8Yq5oiXL6Ki0HJUfSy,High By The Beach,0.499,0.118,132.002,0.0353,0.26,0.00827,4,0.56,11,-11.116,0.0825
08OTqB3xjsLa5EZb9Fu2Lw,Hot Blur,0.824,0.0533,154.008,0.222,0.0249,0.627,4,0.683,1,-8.569,0.921
46Xnj8vZFwOZCE4aZNXlTf,Not In Love,0.98,0.358,135.93,0.0868,0.00172,0.00282,4,0.487,7,-4.21,0.162
1MSM3Fo2fvnwVqMcz8Jhjq,Cecilia And The Satellite,0.842,0.328,194.048,0.137,0.0116,0,4,0.383,0,-7.119,0.23
0NEigSzgUNzLktlgS8CZxn,Never Ending Circles,0.786,0.445,89.962,0.0361,0.0829,0,4,0.508,5,-4.02,0.383
3WLUdAnIT9ZGFhrLJEsu7U,Technicolour Beat,0.307,0.0893,130.047,0.0325,0.719,0.000198,4,0.617,5,-12.642,0.0781
2MHSH5ZAGOTxXT0TbXVGxy,Coattails,0.637,0.361,151.955,0.0341,0.000551,0.00029,4,0.49,8,-7.019,0.25
3UhxppZQkfk9WniMtjpESF,New Americana,0.698,0.336,86.979,0.0318,0.0109,0,4,0.471,0,-5.052,0.335
5F5hhx63QBhlTpM71bvRvY,Drive,0.594,0.172,113.735,0.0599,0.218,0.000297,4,0.404,9,-8.448,0.284
7kS4JyQvrqssb5DmDMwqOC,Black Bear,0.395,0.295,120.096,0.0412,0.00153,0.133,4,0.364,5,-13.957,0.117
2Wc2tcQl7cPetPKeXH3GD3,East of Eden,0.802,0.14,122.876,0.0357,0.0398,0.000288,4,0.592,1,-3.171,0.549
0hNHflYbMMuY0CSmMLwYS6,Warning - feat. Patricia Lynn,0.597,0.105,131.013,0.0392,0.0221,0.813,4,0.663,6,-8.365,0.38
0A8cJT245zXmWhcQWbtmw3,Flicker (Kanye West Rework),0.35,0.166,92.818,0.0409,0.276,0,4,0.348,3,-10.237,0.109
1KlDcHrlDPUJJPmMup3tUp,5 Years Time,0.559,0.148,121.967,0.116,0.335,0,4,0.8,0,-7.11,0.79
1Z4bpgy49F5P9mQrp29OVK,Locked In A Cage,0.838,0.341,82.989,0.0413,0.0519,0.0061,4,0.557,5,-5.396,0.411
0nev4XL4Y6hrDsRpK4ERcU,No Cars Go,0.75,0.12,135.308,0.0371,0.00072,0.227,4,0.319,1,-6.942,0.267
3o2ESAMet1zR1aASlzrIxO,Double Vision,0.888,0.413,120.041,0.0587,0.0018,0,4,0.581,0,-3.198,0.64
22HUwdcICEa6IcmjirhXvG,Untrust Us,0.818,0.158,125.918,0.0279,0.043,0.207,4,0.607,11,-5.405,0.21
4Wvr1YaxNsCujq77dKujys,Believe,0.953,0.215,166.093,0.0551,0.00603,2.13e-06,4,0.383,8,-3.388,0.476
3R2FxfQsTs5Ei2twCe339s,I'm in Here,0.784,0.114,147.82,0.0568,0.0582,1.03e-05,4,0.564,4,-5.347,0.321
25nzKGDiua1lE9Qo5V19GL,Young Blood,0.866,0.629,104.984,0.0316,7.14e-05,0.000143,4,0.595,6,-4.629,0.371
3SHxCaqhVMgQ5MDGrObjqo,Do The Panic,0.797,0.113,133.037,0.0566,0.0122,2.67e-06,4,0.634,1,-5.13,0.742
2qMIhahrpJUksR0MuigQV6,Deicide,0.582,0.229,131.023,0.0357,0.188,0.911,4,0.556,6,-10.65,0.516
0Em7kYMP9LGyRNc7KroJTZ,Meyrin Fields,0.896,0.0886,142.0,0.0371,0.0114,0.000362,4,0.634,0,-6.848,0.712
05cXQMJcrM9msUYu11mOrs,Alive,0.752,0.102,98.88,0.056,0.289,0.000101,4,0.32,6,-4.91,0.398
5wiBvOZezmmN6IOZT7dVbt,Lost In My Bedroom,0.831,0.266,125.037,0.0461,9.12e-05,7.14e-06,4,0.607,11,-5.195,0.322
4UOb2PucyjHBbdP7mTepz7,Indie Rokkers,0.912,0.104,139.98,0.0372,0.0124,0.0951,4,0.62,4,-5.442,0.483
3pxw9Agh9VB9kyx79REpRQ,Trouble,0.623,0.0992,77.861,0.0302,0.392,0.000453,4,0.47,0,-5.655,0.302
4AewKenHXKBt643p473xCk,American Money,0.866,0.113,135.006,0.0832,0.022,0.0027,4,0.545,6,-5.25,0.308
68zaQEJiaMEOFxhBaAVpL3,Fool 4 You,0.709,0.531,74.991,0.0394,0.0113,0.0626,4,0.522,4,-6.695,0.489
5hzYEPlHm5nHEGCvQJg6QG,Your Soul,0.68,0.144,94.46,0.0408,0.000599,0.0339,3,0.487,7,-8.497,0.076
1JY6B9ILvmRla2IKKRZvnH,Sad Machine,0.703,0.0723,88.518,0.034,0.0344,1.96e-06,4,0.475,0,-4.9,0.302
2X3NxzbcjEsT3gQ5tMiuHJ,Senseless,0.874,0.321,81.943,0.0273,0.0359,4.33e-05,3,0.457,2,-3.425,0.567
5dKf0sdBYTZoWaRvux9WHE,Stop The World I Wanna Get Off With You,0.737,0.125,94.997,0.059,0.0616,3.57e-05,4,0.675,6,-6.767,0.562
4T8HJb33kDmm38H5BvX8LB,ZVVL,0.922,0.181,130.13,0.0809,0.00777,0.00676,4,0.542,6,-5.898,0.271
4iw5Zh3RG6t9VmLEMTTn9W,Upswing,0.536,0.0808,97.002,0.0289,0.00148,0.122,4,0.614,2,-6.397,0.429
6u34bB6XweoIFTtBOEvoZr,Dawn,0.541,0.121,122.93,0.0432,0.462,0.00649,4,0.493,3,-10.912,0.076
2DFRFqWNahKtFD112H2iEZ,Do You Realize??,0.797,0.392,129.964,0.0333,0.006,0.000304,4,0.464,0,-5.244,0.551
0z9UVN8VBHJ9HdfYsOuuNf,Safe & Sound - from The Hunger Games Soundtrack,0.3,0.0732,144.163,0.0277,0.893,1.53e-05,4,0.476,7,-10.737,0.309
48TgHQ5tyu2tvrzeudIaBl,Mad Cali Transit,0.784,0.152,101.998,0.0426,0.00979,0,4,0.559,1,-5.203,0.64
6C7RJEIUDqKkJRZVWdkfkH,Stronger,0.726,0.318,103.98,0.155,0.00728,0,4,0.625,10,-7.731,0.479
5Bn8zYJ6hFifWXBMi5bHay,Molt,0.868,0.107,112.416,0.0768,0.401,1.71e-06,4,0.49,4,-6.932,0.209
6QejNKLkSVY4Kqt3w5numd,Islands,0.478,0.0825,94.998,0.0266,0.795,0.00126,4,0.521,5,-9.972,0.457
3WlJW5WVyNwfBwagl4vIpq,Houdini - RAC Remix,0.932,0.0826,114.983,0.0405,0.509,0.339,4,0.685,0,-5.207,0.886
3ytnSerVpcbMU9lajntBw7,Borders,0.862,0.0979,178.073,0.0747,0.00587,0.00276,4,0.582,1,-5.039,0.331
6Q5ClIrkVCcLOFHwMsN8QV,Monster,0.777,0.435,119.994,0.0468,0.00168,0,4,0.698,9,-4.496,0.655
7dzUZec5MnWMyQnk5klnKR,Grace Kelly,0.847,0.373,122.287,0.0519,0.0219,0.0329,4,0.678,0,-5.825,0.6
4LoMziEaxdkrSMXtavIJqL,Just What I Am,0.949,0.41,140.002,0.12,0.00231,0,4,0.653,1,-3.179,0.368
4sYQGr3ZVXDcCpAp5YYiEH,Fellow Feeling - SLUMBERJACK Remix,0.872,0.28,150.026,0.361,0.0028,0.589,4,0.438,11,-4.556,0.151
6hWT56Jas2g7B0Fvh8BThh,Impossible,0.478,0.116,118.296,0.0337,0.589,0.177,4,0.718,0,-9.432,0.349
6xtjkYzU5eBThLBHAmIRWX,All My Friends,0.593,0.243,169.996,0.025,0.438,1.04e-05,4,0.585,11,-6.762,0.777
5uyRkr9cH64kAGh632Sj1T,"Hurry, Hurry",0.913,0.117,120.001,0.0492,0.0015,0,4,0.612,9,-4.668,0.806
5yhMwlObProJpmAiotWOAm,Little Earthquakes,0.632,0.0879,104.029,0.0309,0.1,9.79e-06,4,0.579,7,-6.466,0.468
5pS433WfKO8SVdAX3QYf0A,Wild Horses - Remastered,0.389,0.0788,139.506,0.0255,0.687,0.0107,4,0.432,7,-6.517,0.157
6TaqooOXAEcijL6G1AWS2K,All My Friends,0.521,0.108,95.055,0.132,0.119,8.41e-05,4,0.689,0,-5.845,0.181
2kkX9IzielZhUBybezdE0m,Parade,0.516,0.11,149.886,0.028,0.185,0.0215,4,0.499,9,-10.846,0.486
7mnGQesk1TzQLzQ9bYWZPR,She's so High,0.84,0.0998,124.269,0.0363,0.2,2.15e-06,4,0.537,9,-4.626,0.21
57i3M29DWoo7RDk0Tf0LZG,Daylight,0.802,0.167,101.31,0.0394,0.0976,0.000356,4,0.363,9,-4.881,0.648
29BXCsh4lGLrndprkgYL6O,Somewhere in Paradise (feat. Jeremih & R. Kelly),0.55,0.162,119.665,0.454,0.361,0,4,0.751,3,-8.588,0.679
17Vyuiin8uY1eOR1imRtqS,Everything,0.237,0.0868,139.213,0.0354,0.833,0.945,4,0.361,5,-20.284,0.121
0y1l0SeQaUJ0DZCWvT2R1h,Bitch I'm Madonna,0.613,0.188,150.001,0.137,0.0548,0.000263,4,0.723,10,-5.657,0.503
13PUJCvdTSCT1dn70tlGdm,"Welcome Home, Son",0.537,0.143,144.994,0.0296,0.743,0.732,3,0.601,6,-9.464,0.39
07vWAC7D7QVyPnFpyDSRh9,Back Again,0.496,0.116,84.998,0.0302,0.0443,0.0557,4,0.663,8,-7.903,0.548
2HsujUs8NXa0QIshm53C0u,Sunburns,0.877,0.136,133.004,0.0324,0.0411,4.49e-05,4,0.624,11,-4.993,0.672
0elXIl26ZrovBULLTrEGK6,Habits Of My Heart,0.498,0.34,72.048,0.117,0.665,0.000118,4,0.392,9,-7.63,0.583
5pLjOLnVVOVK6uvHmhBz8f,We Won't,0.315,0.368,61.161,0.135,0.435,0,4,0.501,6,-11.146,0.537
1PxeVXU16vI9Mf09ntfaPZ,Go With It,0.56,0.101,140.016,0.0305,0.131,0.255,4,0.698,9,-8.476,0.644
2KTsF6TFius01SCYmnIkJG,True Colors,0.744,0.0949,126.008,0.0333,0.367,1.62e-05,4,0.624,2,-4.82,0.414
4JLen73wg0AEqcIDV6NMeb,Balance,0.696,0.0595,102.006,0.0316,0.0903,6.03e-05,4,0.709,9,-7.98,0.91
4mxh2NExRSOb7bJTRnJPyK,Overflow,0.333,0.556,80.768,0.0375,0.00391,0.000186,4,0.471,8,-11.857,0.114
6UUOkhXDWTqVYjzqNJ1F0x,So High,0.426,0.0995,158.044,0.0351,0.251,0.877,4,0.414,1,-12.223,0.0395
0Do59HJNKcUliLc888Y2eT,Woodstock (Psychedelic Fiction),0.645,0.068,134.005,0.0678,0.462,2.75e-06,4,0.751,0,-6.25,0.667
4P73ZBrXOmsZA6WXsuxUC1,Got It,0.446,0.0437,81.982,0.0532,0.0603,0.27,4,0.82,4,-8.183,0.575
34EkOFrAsXNuWoEra76qzB,Cobrastyle,0.763,0.109,178.009,0.0662,0.215,0.0424,4,0.684,0,-6.277,0.723
2RUFzxyUlI36KKy9Agkqze,POWER,0.907,0.825,154.0,0.13,0.0193,0,4,0.539,0,-4.757,0.556
5ViKcykK1W89CGt2rKJJR7,Someone That Loves You,0.728,0.135,104.978,0.063,0.0416,7.19e-06,4,0.531,6,-4.985,0.414
2zsa7Z6gCA5eBg0p9pbyLs,I Know There's Gonna Be (Good Times),0.594,0.536,89.394,0.155,0.119,0,4,0.564,11,-9.912,0.489
2JQm8NNpFkwvhuKH3yhuC9,Loud Places,0.625,0.119,109.019,0.0422,0.00432,0.291,4,0.646,8,-10.75,0.183
0gb1J5UrTpzaU1s3nupgCd,No Money,0.916,0.24,126.01,0.0397,0.0282,0.00762,4,0.671,6,-4.014,0.804
6m9qPYXmhge2QhBLfFKnVF,Same Drugs,0.293,0.0936,180.297,0.0555,0.947,9.95e-06,4,0.461,6,-9.52,0.515
0ZFWedkalk0ITnI6J8l5Vr,The Wire - Farhot Remix,0.737,0.276,120.023,0.0324,0.00711,4.19e-05,4,0.58,0,-4.671,0.167
103Ec6ekbiq6hvUfAK9F8o,This Song Is Not About A Girl,0.655,0.153,140.026,0.133,0.174,0.144,4,0.761,2,-6.88,0.656
2Th9BGKvfZG8bKQSACitwG,It's Strange,0.492,0.102,85.951,0.354,0.371,0.0401,4,0.837,0,-7.792,0.407
3VuCbkR8caDqAULco1fg3W,North Atlantic Ocean,0.413,0.227,95.317,0.03,0.516,0.0104,4,0.446,5,-11.073,0.307
2HUrnrn2N9XQvbvnDh5jPU,Pursuit of Happiness - Steve Aoki Remix,0.556,0.0505,128.027,0.0709,0.0163,0.0026,4,0.723,0,-11.394,0.597
6phyrxHcUpQ1BRZ8yXCUWB,I Wish (My Taylor Swift),0.934,0.565,107.995,0.0401,0.000767,0.00746,4,0.587,11,-3.879,0.688
42TrdbXsmLybxUGJczYbrJ,Classic (feat. POWERS),0.94,0.324,101.961,0.049,0.00464,0.000805,4,0.631,2,-3.52,0.57
0Mxt4lVyvkGE7zuSuo0bgL,Time,0.898,0.718,112.994,0.052,0.0349,0.00403,4,0.687,4,-5.321,0.469
34KUIBsIUiPV7oCIzSdDAU,Diamonds From Sierra Leone - Remix - Album Version (Explicit),0.803,0.201,96.808,0.258,0.244,0,4,0.658,7,-3.742,0.457
6n6EXIwLtNwe4u4CFzENYm,The General,0.675,0.107,91.09,0.192,0.446,0,4,0.541,10,-6.136,0.685
2cmRpmO04TLaKPzmAzySYZ,Dance Yrself Clean,0.611,0.04,98.004,0.0622,0.00557,0.725,4,0.739,11,-9.829,0.789
